Opp,Date,Tournament,Match,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff
RUSSIA,2017-02-06,2017_Sydney,Match_17_USA_vs_Russia,-1.68539325842697,-9.677419354838705,-20.0,0.6666666666666667,-3.448275862068968,0.0,33.333333333333336,0.0,-0.5,0.33333333333333337,
ARGENTINA,2017-02-06,2017_Sydney,Match_1_Argentina_vs_USA,-17.17791411042944,7.317073170731703,14.285714285714292,-0.41666666666666663,-6.666666666666671,0.6,100.0,100.0,-1.0,0.0,0.0
SOUTH AFRICA,2017-02-06,2017_Sydney,Match_31_USA_vs_South_Africa,23.359580052493442,-35.48387096774193,-20.0,-1.0,34.61538461538461,-1.0,-100.0,-100.0,0.0,0.25,
WALES,2017-02-06,2017_Sydney,Match_38_USA_vs_Wales,1.5151515151515156,31.03448275862069,20.0,0.6666666666666666,11.764705882352942,0.16666666666666663,60.0,50.0,,0.11111111111111105,0.0
FIJI,2017-02-06,2017_Sydney,Match_43_Fiji_vs_USA,-1.5974440894568716,-48.93617021276595,-42.85714285714286,-0.5,33.333333333333336,0.2,-33.333333333333336,0.0,-1.0,0.06666666666666665,0.0
FRANCE,2017-03-22,2017_Vancouver,Match_10_USA_vs_France,17.647058823529406,24.0,25.0,-0.06666666666666665,13.43283582089552,-0.75,20.0,33.333333333333336,0.33333333333333337,0.13333333333333341,
AUSTRALIA,2017-03-22,2017_Vancouver,Match_18_USA_vs_Australia,-13.025210084033617,70.58823529411765,66.66666666666666,0.4,-30.303030303030305,0.3333333333333333,14.285714285714292,14.285714285714292,,0.0,0.0
JAPAN,2017-03-22,2017_Vancouver,Match_2_USA_vs_Japan,72.27272727272728,100.0,100.0,,73.49397590361446,0.8571428571428571,-66.66666666666666,-60.0,,0.33333333333333337,0.5
ARGENTINA,2017-03-22,2017_Vancouver,Match_30_USA_vs_Argentina,3.4300791556728285,7.692307692307693,0.0,0.5,3.5714285714285694,,14.285714285714292,0.0,1.0,0.2857142857142857,1.0
SOUTH AFRICA,2017-03-22,2017_Vancouver,Match_39_South_Africa_vs_USA,45.5,-16.66666666666667,0.0,-1.0,63.38028169014084,-0.6666666666666666,-50.0,-100.0,,0.33333333333333337,0.0
FIJI,2017-03-22,2017_Vancouver,Match_44_USA_vs_Fiji,-16.799999999999997,-7.692307692307693,0.0,-0.5,-13.84615384615384,0.0,33.333333333333336,100.0,,0.1428571428571429,
SAMOA,2017-01-29,2017_Wellington,Match_15_USA_vs_Samoa,9.090909090909093,33.333333333333336,33.333333333333336,0.0,24.0,0.0,0.0,0.0,0.0,-0.33333333333333337,0.0
NEW ZEALAND,2017-01-29,2017_Wellington,Match_24_New_Zealand_vs_USA,-18.584070796460182,-33.333333333333336,-33.333333333333336,0.0,-24.675324675324674,0.5,-20.0,0.0,,-0.08333333333333337,
JAPAN,2017-01-29,2017_Wellington,Match_26_USA_vs_Japan,3.5087719298245617,15.151515151515156,20.0,-0.33333333333333337,15.625,0.0,9.090909090909093,0.0,0.33333333333333337,0.18055555555555558,
KENYA,2017-01-29,2017_Wellington,Match_35_Kenya_vs_USA,5.856832971800429,-22.58064516129032,-20.0,-0.16666666666666663,21.73913043478261,,-11.111111111111114,-14.285714285714292,,0.16666666666666663,
FRANCE,2017-01-29,2017_Wellington,Match_7_USA_vs_France,7.455012853470436,0.0,0.0,0.0,12.727272727272734,0.16666666666666669,0.0,0.0,0.0,0.11111111111111116,
