Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
USA,2016-05-25,2016_London,Match_3_Samoa_vs_USA,147,12,2,0.5,26,0.0,3,2,0,8,0.6,1.0,1.0
USA,2016-05-25,2016_London,Match_40_USA_vs_Scotland,165,17,3,0.3333333333333333,29,66.66666666666666,2,2,0,2,0.8,0.0,1.0
SCOTLAND,2016-05-25,2016_London,Match_40_USA_vs_Scotland,232,24,4,0.5,45,33.33333333333333,0,0,0,4,1.0,0.0,1.0
FIJI,2016-05-25,2016_London,Match_44_Fiji_vs_USA,130,19,3,0.6666666666666666,22,0.0,2,0,0,0,0.6666666666666666,0.0,0.5
USA,2016-05-25,2016_London,Match_44_Fiji_vs_USA,163,26,4,0.75,24,75.0,1,1,0,6,0.75,1.0,1.0
FRANCE,2016-05-16,2016_Paris,Match_14_France_vs_USA,193,24,4,0.5,33,50.0,4,2,0,3,0.875,0.0,0.6666666666666666
USA,2016-05-16,2016_Paris,Match_14_France_vs_USA,227,12,2,0.5,44,33.33333333333333,1,1,0,6,0.8888888888888888,0.0,1.0
USA,2016-05-16,2016_Paris,Match_21_USA_vs_Canada,263,33,5,0.8,48,42.857142857142854,2,1,0,4,1.0,0.0,1.0
CANADA,2016-05-16,2016_Paris,Match_21_USA_vs_Canada,197,12,2,0.5,24,0.0,1,1,0,1,0.9090909090909091,0.0,0.5
USA,2016-05-16,2016_Paris,Match_27_USA_vs_Portugal,181,19,3,0.6666666666666666,24,33.33333333333333,5,2,1,6,0.75,0.6666666666666666,1.0
PORTUGAL,2016-05-16,2016_Paris,Match_27_USA_vs_Portugal,195,17,3,0.3333333333333333,18,50.0,4,3,0,3,0.8,0.0,0.3333333333333333
USA,2016-05-16,2016_Paris,Match_36_USA_vs_Scotland,290,12,2,0.5,54,0.0,5,4,0,6,0.875,0.0,1.0
SCOTLAND,2016-05-16,2016_Paris,Match_36_USA_vs_Scotland,176,14,2,1.0,27,0.0,6,4,0,1,0.6666666666666666,0.0,1.0
ARGENTINA,2016-05-16,2016_Paris,Match_5_Argentina_vs_USA,183,36,6,0.5,22,20.0,6,3,0,2,1.0,0.0,1.0
USA,2016-05-16,2016_Paris,Match_5_Argentina_vs_USA,224,0,0,0.0,45,0.0,3,2,0,8,0.75,1.0,1.0
USA,2016-04-18,2016_Singapore,Match_12_USA_vs_France,171,17,3,0.3333333333333333,26,25.0,1,1,0,1,0.8,1.0,1.0
