Opp,Tournament,Poss_Time_Diff,Score_Diff,Conv_Diff,Tries_Diff,Passes_Diff,Contestable_KO_Win_pct_Diff,PenFK_Against_Diff,RuckMaul_Diff,Ruck_Win_pct_Diff,Cards_diff,Lineout_Win_Pct_Diff,Scrum_Win_Pct_Diff,-175 : -150,-149 : -125,-124 : -100,-99 : -75,-74 : -25,-24 : -1,0 : 25,26 : 50,51 : 75,76 : 100,101 : 125,126 : 150,Result
SCOTLAND,2016_Paris,24.463519313304715,-7.6923076923076925,0.0,-0.5,33.333333333333336,0.0,-9.090909090909092,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
ARGENTINA,2016_Paris,10.073710073710076,-100.0,-100.0,-0.5,34.328358208955216,20.0,-33.333333333333336,-20.0,-0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
FRANCE,2016_Singapore,1.7857142857142918,-5.555555555555557,0.0,-0.3333333333333333,20.930232558139533,-25.0,-33.333333333333336,0.0,-0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NEW ZEALAND,2016_Singapore,14.805194805194802,-22.58064516129032,-20.0,-0.16666666666666666,57.14285714285714,16.66666666666667,20.0,100.0,0.20000000000000007,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
RUSSIA,2016_Singapore,55.89743589743589,65.51724137931035,60.0,0.5,69.0721649484536,66.66666666666666,20.0,33.333333333333336,0.05714285714285705,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,1
PORTUGAL,2016_Singapore,32.828282828282816,100.0,100.0,0.75,34.375,-50.0,-20.0,-20.0,0.06818181818181822,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SCOTLAND,2016_Singapore,32.88590604026845,-16.66666666666667,0.0,-1.0,29.54545454545454,-50.0,-33.333333333333336,-20.0,0.33333333333333337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CANADA,2016_Singapore,3.5812672176308524,44.0,50.0,-0.5,-1.8867924528301927,33.33333333333333,33.333333333333336,0.0,0.08333333333333337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
JAPAN,2016_Sydney,16.04938271604938,32.0,25.0,0.4666666666666667,8.196721311475414,33.33333333333333,100.0,100.0,-0.2777777777777778,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
ENGLAND,2016_Sydney,27.669902912621357,-9.677419354838703,-20.0,0.6666666666666667,38.888888888888886,0.0,100.0,100.0,-0.2857142857142857,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
NEW ZEALAND,2016_Sydney,23.24561403508773,-54.83870967741936,-60.0,0.5,43.5897435897436,0.0,-50.0,-66.66666666666666,-0.022222222222222143,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
KENYA,2016_Sydney,-2.4509803921568647,-6.666666666666671,-14.285714285714292,0.5,9.375,-25.0,0.0,-60.0,0.2857142857142857,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WALES,2016_Sydney,4.827586206896555,100.0,100.0,1.0,-4.918032786885249,0.0,0.0,0.0,0.21794871794871795,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
ENGLAND,2016_Vancouver,33.94077448747152,17.241379310344826,20.0,-0.16666666666666669,44.0,75.0,-25.0,-42.85714285714286,0.34523809523809523,0.0,-1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,1
NEW ZEALAND,2016_Vancouver,55.056179775280896,-54.54545454545454,-50.0,-0.3333333333333333,59.550561797752806,0.0,-66.66666666666666,-60.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
FIJI,2016_Vancouver,24.369747899159666,-8.771929824561399,-11.111111111111114,0.15000000000000002,16.129032258064512,-40.0,11.111111111111114,20.0,0.2142857142857143,50.0,-1.0,1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WALES,2016_Vancouver,17.617866004962778,52.0,50.0,0.16666666666666666,26.92307692307692,50.0,50.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
SAMOA,2016_Vancouver,7.0559610705596025,-24.0,-25.0,0.06666666666666665,7.89473684210526,-50.0,-100.0,-100.0,0.4444444444444445,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FRANCE,2016_Vancouver,29.63855421686748,50.0,50.0,0.0,29.57746478873239,26.66666666666667,60.0,33.333333333333336,0.1523809523809524,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
ENGLAND,2016_Wellington,-12.273641851106644,-58.33333333333334,-50.0,-0.6666666666666666,-6.122448979591838,-66.66666666666666,-33.333333333333336,-33.333333333333336,0.25,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
FRANCE,2016_Wellington,3.1175059952038424,16.0,25.0,-0.6,12.121212121212125,100.0,-20.0,-20.0,0.16666666666666666,50.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1
SAMOA,2016_Wellington,22.762148337595907,9.090909090909092,14.285714285714292,-0.33333333333333337,21.73913043478261,-20.0,25.0,0.0,0.0461538461538461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1
FIJI,2016_Wellington,15.019762845849796,-27.272727272727266,-20.0,-0.5,15.909090909090908,50.0,-100.0,-100.0,0.06666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0
AUSTRALIA,2016_Wellington,12.935323383084581,-54.54545454545454,-50.0,-0.3333333333333333,22.857142857142858,0.0,7.6923076923076925,0.0,-0.21666666666666667,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
SCOTLAND,2017_Hong_Kong,-33.333333333333336,15.151515151515154,20.0,-0.33333333333333337,-40.84507042253521,0.0,-14.285714285714292,20.0,0.1428571428571429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
ARGENTINA,2017_Hong_Kong,-5.2341597796143295,73.68421052631578,66.66666666666666,0.8,-3.3333333333333286,25.0,33.333333333333336,50.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
ENGLAND,2017_Hong_Kong,-3.5019455252918306,58.82352941176471,66.66666666666666,-0.8,7.6923076923076925,0.0,20.0,50.0,0.09090909090909094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
SOUTH AFRICA,2017_Hong_Kong,-3.529411764705884,-9.43396226415095,-11.111111111111114,0.09999999999999998,9.278350515463913,-166.66666666666669,60.0,100.0,0.08333333333333337,0.0,0.0,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AUSTRALIA,2017_Hong_Kong,-2.2321428571428608,-15.555555555555555,-14.285714285714292,-0.08333333333333337,-8.196721311475414,25.0,-60.0,-33.333333333333336,0.2727272727272727,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
RUSSIA,2017_Hong_Kong,-40.0,33.333333333333336,33.333333333333336,0.0,-33.333333333333336,50.0,50.0,50.0,0.07692307692307687,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
CHILE,2017_Las_Vegas,2.3364485981308434,100.0,100.0,0.6,1.9607843137254832,75.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,1
ENGLAND,2017_Las_Vegas,10.123456790123457,-17.07317073170732,-14.285714285714292,-0.16666666666666669,11.47540983606558,33.33333333333333,-14.285714285714292,-20.0,0.05555555555555547,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0
ARGENTINA,2017_Las_Vegas,-22.335025380710658,5.0,0.0,0.33333333333333337,-30.90909090909091,-25.0,42.85714285714286,20.0,-0.31818181818181823,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SOUTH AFRICA,2017_Las_Vegas,-9.749303621169917,-8.108108108108112,-14.285714285714292,0.3333333333333333,0.0,133.33333333333334,0.0,33.333333333333336,-0.2857142857142857,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0
NEW ZEALAND,2017_Las_Vegas,11.16625310173697,11.764705882352944,0.0,0.6666666666666666,-3.125,0.0,-14.285714285714292,-20.0,-0.125,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
SAMOA,2017_Las_Vegas,20.891364902506965,67.74193548387098,60.0,0.75,35.384615384615394,0.0,-20.0,0.0,0.09999999999999998,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
KENYA,2017_London,26.130653266331663,100.0,100.0,0.8571428571428571,26.66666666666667,42.857142857142854,-50.0,-50.0,0.04166666666666663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
SOUTH AFRICA,2017_London,6.352941176470593,33.333333333333336,33.333333333333336,0.0,2.8571428571428616,0.0,-33.333333333333336,-33.333333333333336,0.04807692307692313,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,1
AUSTRALIA,2017_London,28.25552825552825,37.77777777777777,42.85714285714286,-0.4,36.111111111111114,50.0,33.333333333333336,100.0,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1
SCOTLAND,2017_London,-15.16314779270634,-20.0,-20.0,0.0,-5.154639175257729,50.0,33.333333333333336,33.333333333333336,-0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0
CANADA,2017_London,11.16625310173697,-7.317073170731702,-14.285714285714292,0.4166666666666666,37.31343283582089,25.0,-66.66666666666666,-60.0,-0.11111111111111116,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0
WALES,2017_London,-16.931216931216937,-40.0,-33.333333333333336,-0.5,-16.92307692307692,33.33333333333333,-66.66666666666666,-60.0,0.125,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0
